id,name,party,partyLabel,votes,election,electionLabel,ranking
Q24052782,Carla Lockhart,Q215519,Democratic Unionist Party,9140,Q28231972,2017 Assembly election,1
Q28867994,Jonathan Buckley,Q215519,Democratic Unionist Party,8764,Q28231972,2017 Assembly election,2
Q20675966,Doug Beattie,Q841045,Ulster Unionist Party,10728.86,Q28231972,2017 Assembly election,3
Q6250866,John O'Dowd,Q76382,Sinn Féin,8593.60,Q28231972,2017 Assembly election,4
Q5289533,Dolores Kelly,Q175443,Social Democratic and Labour Party,9053.92,Q28231972,2017 Assembly election,5
,Nuala Toman,Q76382,Sinn Féin,6341.60,Q28231972,2017 Assembly election,6
Q6203978,Jo-Anne Dobson,Q841045,Ulster Unionist Party,5969,Q28231972,2017 Assembly election,7
,Tara Doyle,Q244927,Alliance Party of Northern Ireland,3097,Q28231972,2017 Assembly election,8
,Roy Ferguson,Q985076,Traditional Unionist Voice,1035,Q28231972,2017 Assembly election,9
,Simon Lee,Q1096979,Green Party in Northern Ireland,555,Q28231972,2017 Assembly election,10
,Colin Craig,Q1860218,Workers' Party of Ireland,218,Q28231972,2017 Assembly election,11
,Ian Nichols,Q7058484,Northern Ireland Conservatives,81,Q28231972,2017 Assembly election,12
Q24052782,Carla Lockhart,Q215519,Democratic Unionist Party,7993,Q16973450,2016 Assembly election,1
Q7659820,Sydney Anderson,Q215519,Democratic Unionist Party,7215,Q16973450,2016 Assembly election,2
Q6203978,Jo-Anne Dobson,Q841045,Ulster Unionist Party,6548,Q16973450,2016 Assembly election,3
Q20675966,Doug Beattie,Q841045,Ulster Unionist Party,6569,Q16973450,2016 Assembly election,4
Q24052781,Catherine Seeley,Q76382,Sinn Féin,6448,Q16973450,2016 Assembly election,5
Q6250866,John O'Dowd,Q76382,Sinn Féin,5477,Q16973450,2016 Assembly election,6
Q5289533,Dolores Kelly,Q175443,Social Democratic and Labour Party,5309,Q16973450,2016 Assembly election,7
,Kyle Savage,Q841045,Ulster Unionist Party,2760,Q16973450,2016 Assembly election,8
,Harry Hamilton,Q244927,Alliance Party of Northern Ireland,1973,Q16973450,2016 Assembly election,9
,Roy Ferguson,Q985076,Traditional Unionist Voice,1707,Q16973450,2016 Assembly election,10
,David Jones,Q10647,UKIP,1333,Q16973450,2016 Assembly election,11
,Martin Kelly,Q19903723,Cannabis Is Safer Than Alcohol,828.64,Q16973450,2016 Assembly election,12
,Sophie Long,Q1817613,Progressive Unionist Party,769,Q16973450,2016 Assembly election,13
,Simon Lee,Q1096979,Green Party in Northern Ireland,555,Q16973450,2016 Assembly election,14
,Emma Hutchinson,Q20642359,Northern Ireland Labour Representation Committee,251,Q16973450,2016 Assembly election,15
,Ian Nickels,Q7058484,Northern Ireland Conservatives,83,Q16973450,2016 Assembly election,16
,Steven McCarroll,Q327591,Independent (politician),37,Q16973450,2016 Assembly election,17
Q6250866,John O'Dowd,Q76382,Sinn Féin,6649,Q7058474,2011 Assembly election,1
Q7659820,Sydney Anderson,Q215519,Democratic Unionist Party,6163,Q7058474,2011 Assembly election,2
Q7610048,Stephen Moutray,Q215519,Democratic Unionist Party,6086,Q7058474,2011 Assembly election,3
Q7407495,Sam Gardiner,Q841045,Ulster Unionist Party,6012,Q7058474,2011 Assembly election,4
Q6203978,Jo-Anne Dobson,Q841045,Ulster Unionist Party,5827,Q7058474,2011 Assembly election,5
Q5289533,Dolores Kelly,Q175443,Social Democratic and Labour Party,5787,Q7058474,2011 Assembly election,6
,Johnny McGibbon,Q76382,Sinn Féin,5348,Q7058474,2011 Assembly election,7
,Colin McCusker,Q841045,Ulster Unionist Party,3885,Q7058474,2011 Assembly election,8
,Harry Hamilton,Q244927,Alliance Party of Northern Ireland,2545,Q7058474,2011 Assembly election,9
,David Vance,Q985076,Traditional Unionist Voice,1092,Q7058474,2011 Assembly election,10
,Sheila McQuaid,Q244927,Alliance Party of Northern Ireland,802,Q7058474,2011 Assembly election,11
,Barbara Trotter,Q10647,UK Independence Party,272,Q7058474,2011 Assembly election,12
Q6250866,John O'Dowd,Q76382,Sinn Féin,7733,Q2562399,2007 Assembly election,1
Q392000,David Simpson,Q215519,Democratic Unionist Party,6828,Q2562399,2007 Assembly election,2
Q5289533,Dolores Kelly,Q175443,Social Democratic and Labour Party,6191.20,Q2562399,2007 Assembly election,3
Q7407495,Sam Gardiner,Q841045,Ulster Unionist Party,7265,Q2562399,2007 Assembly election,4
Q7610048,Stephen Moutray,Q215519,Democratic Unionist Party,7550.32,Q2562399,2007 Assembly election,5
Q5544306,George Savage,Q841045,Ulster Unionist Party,5997.52,Q2562399,2007 Assembly election,6
,Dessie Ward,Q76382,Sinn Féin,4731.84,Q2562399,2007 Assembly election,7
,John McCrum,Q215519,Democratic Unionist Party,3469.18,Q2562399,2007 Assembly election,8
,Arnold Hatch,Q841045,Ulster Unionist Party,2142.70,Q2562399,2007 Assembly election,9
,Helen Corry,Q1096979,Green Party of Northern Ireland,1757.70,Q2562399,2007 Assembly election,10
Q5232104,Davy Calvert,Q6017344,Independent Unionist,1408.90,Q2562399,2007 Assembly election,11
,Sheila McQuaid,Q244927,Alliance Party of Northern Ireland,946.90,Q2562399,2007 Assembly election,12
,Patrick McAleenan,Q175443,Social Democratic and Labour Party,805,Q2562399,2007 Assembly election,13
,Barry Toman,Q174406,Republican Sinn Féin,418.90,Q2562399,2007 Assembly election,14
,David Fry,Q7058484,Northern Ireland Conservatives,249,Q2562399,2007 Assembly election,15
,Suzanne Peeples,Q6017344,Independent Unionist,81.80,Q2562399,2007 Assembly election,16
Q192556,David Trimble,Q841045,Ulster Unionist Party,9158,Q2076187,2003 Assembly election,1
Q392000,David Simpson,Q215519,Democratic Unionist Party,6303.32,Q2076187,2003 Assembly election,2
Q7610048,Stephen Moutray,Q215519,Democratic Unionist Party,6458.60,Q2076187,2003 Assembly election,3
Q7407495,Sam Gardiner,Q841045,Ulster Unionist Party,6872.59,Q2076187,2003 Assembly election,4
Q5289533,Dolores Kelly,Q175443,Social Democratic and Labour Party,6978.54,Q2076187,2003 Assembly election,5
Q6250866,John O'Dowd,Q76382,Sinn Féin,5912.60,Q2076187,2003 Assembly election,6
Q5221985,Dara O'Hagan,Q76382,Sinn Féin,4301.12,Q2076187,2003 Assembly election,7
,Kieran Corr,Q175443,Social Democratic and Labour Party,3668.91,Q2076187,2003 Assembly election,8
Q5544306,George Savage,Q841045,Ulster Unionist Party,3419.18,Q2076187,2003 Assembly election,9
Q5257576,Denis Watson,Q215519,Democratic Unionist Party,2113.16,Q2076187,2003 Assembly election,10
,David Jones,Q327591,Independent (politician),1016.12,Q2076187,2003 Assembly election,11
,Francis McQuaid,Q244927,Alliance Party of Northern Ireland,670.64,Q2076187,2003 Assembly election,12
,Sidney Anderson,Q327591,Independent (politician),607.88,Q2076187,2003 Assembly election,13
Q7815865,Tom French,Q1860218,Workers' Party of Ireland,260.12,Q2076187,2003 Assembly election,14
Q192556,David Trimble,Q841045,Ulster Unionist Party,12338,Q2076208,1998 Assembly election,1
Q4981853,Bríd Rodgers,Q175443,Social Democratic and Labour Party,9260,Q2076208,1998 Assembly election,2
Q5221985,Dara O'Hagan,Q76382,Sinn Féin,7412.86,Q2076208,1998 Assembly election,3
Q6820881,Mervyn Carrick,Q215519,Democratic Unionist Party,8034.05,Q2076208,1998 Assembly election,4
Q5257576,Denis Watson,Q6017344,Independent Unionist,7791.82,Q2076208,1998 Assembly election,5
Q5544306,George Savage,Q841045,Ulster Unionist Party,6527.13,Q2076208,1998 Assembly election,6
,Mel Byrne,Q175443,Social Democratic and Labour Party,5877.77,Q2076208,1998 Assembly election,7
,Ruth Allen,Q215519,Democratic Unionist Party,4375.61,Q2076208,1998 Assembly election,8
Q7407495,Sam Gardiner,Q841045,Ulster Unionist Party,3420.86,Q2076208,1998 Assembly election,9
,Francie Murray,Q76382,Sinn Féin,3173.62,Q2076208,1998 Assembly election,10
,Francis McQuaid,Q244927,Alliance Party of Northern Ireland,2133.30,Q2076208,1998 Assembly election,11
,David Vance,Q985706,UK Unionist Party,1555.66,Q2076208,1998 Assembly election,12
,Mark Neale,Q841045,Ulster Unionist Party,1294.46,Q2076208,1998 Assembly election,13
,Alan Evans,Q6467508,Labour Party of Northern Ireland,522.78,Q2076208,1998 Assembly election,14
Q7815865,Tom French,Q1860218,Workers' Party of Ireland,384.64,Q2076208,1998 Assembly election,15
Q6391149,Kenny McClinton,Q7879973,Ulster Independence Movement,224.30,Q2076208,1998 Assembly election,16
,Brian Silcock,Q327591,Independent politician,146.10,Q2076208,1998 Assembly election,17
,Jack Lyons,Q491782,Natural Law Party,38.68,Q2076208,1998 Assembly election,18
